"Step","DDPG_short_test_track_pixel - loss_actor","DDPG_short_test_track_pixel - loss_actor__MIN","DDPG_short_test_track_pixel - loss_actor__MAX"
"0","0.0263120651","0.0263120651","0.0263120651"
"1","0.0208568233","0.0208568233","0.0208568233"
"2","0.0144808506","0.0144808506","0.0144808506"
"3","0.0083946092","0.0083946092","0.0083946092"
"4","-0.0095009129","-0.0095009129","-0.0095009129"
"5","-0.0207099344","-0.0207099344","-0.0207099344"
"6","-0.0390491304","-0.0390491304","-0.0390491304"
"7","-0.0462011822","-0.0462011822","-0.0462011822"
"8","-0.0598450525","-0.0598450525","-0.0598450525"
"9","-0.0646168439","-0.0646168439","-0.0646168439"
"10","-0.0738901354","-0.0738901354","-0.0738901354"
"11","-0.0797917076","-0.0797917076","-0.0797917076"
"12","-0.0894907881","-0.0894907881","-0.0894907881"
"13","-0.0949143858","-0.0949143858","-0.0949143858"
"14","-0.1028839973","-0.1028839973","-0.1028839973"
"15","-0.1165157051","-0.1165157051","-0.1165157051"
"16","-0.1199904942","-0.1199904942","-0.1199904942"
"17","-0.1212674783","-0.1212674783","-0.1212674783"
"18","-0.1335642666","-0.1335642666","-0.1335642666"
"19","-0.1412712438","-0.1412712438","-0.1412712438"
"20","-0.1419629899","-0.1419629899","-0.1419629899"
"21","-0.1533657597","-0.1533657597","-0.1533657597"
"22","-0.1611253972","-0.1611253972","-0.1611253972"
"23","-0.1650286886","-0.1650286886","-0.1650286886"
"24","-0.1683848971","-0.1683848971","-0.1683848971"
"25","-0.1692765499","-0.1692765499","-0.1692765499"
"26","-0.1743681696","-0.1743681696","-0.1743681696"
"27","-0.1831376532","-0.1831376532","-0.1831376532"
"28","-0.1853105923","-0.1853105923","-0.1853105923"
"29","-0.1894669015","-0.1894669015","-0.1894669015"
"30","-0.1952486101","-0.1952486101","-0.1952486101"
"31","-0.1938855045","-0.1938855045","-0.1938855045"
"32","-0.2010372323","-0.2010372323","-0.2010372323"
"33","-0.2041552136","-0.2041552136","-0.2041552136"
"34","-0.205648277","-0.205648277","-0.205648277"
"35","-0.2148444612","-0.2148444612","-0.2148444612"
"36","-0.2218738207","-0.2218738207","-0.2218738207"
"37","-0.2282861832","-0.2282861832","-0.2282861832"
"38","-0.2360233111","-0.2360233111","-0.2360233111"
"39","-0.2388044742","-0.2388044742","-0.2388044742"
"40","-0.2467375699","-0.2467375699","-0.2467375699"
"41","-0.2490883146","-0.2490883146","-0.2490883146"
"42","-0.2464719631","-0.2464719631","-0.2464719631"
"43","-0.2465491141","-0.2465491141","-0.2465491141"
"44","-0.2542387268","-0.2542387268","-0.2542387268"
"45","-0.2547927937","-0.2547927937","-0.2547927937"
"46","-0.2506823269","-0.2506823269","-0.2506823269"
"47","-0.2520949894","-0.2520949894","-0.2520949894"
"48","-0.2542300684","-0.2542300684","-0.2542300684"
"49","-0.2487337139","-0.2487337139","-0.2487337139"
"50","-0.2576489784","-0.2576489784","-0.2576489784"
"51","-0.2571997014","-0.2571997014","-0.2571997014"
"52","-0.2581868875","-0.2581868875","-0.2581868875"
"53","-0.2629028927","-0.2629028927","-0.2629028927"
"54","-0.2608626058","-0.2608626058","-0.2608626058"
"55","-0.2603146842","-0.2603146842","-0.2603146842"
"56","-0.2583993929","-0.2583993929","-0.2583993929"
"57","-0.2509034249","-0.2509034249","-0.2509034249"
"58","-0.2515190303","-0.2515190303","-0.2515190303"
"59","-0.257236282","-0.257236282","-0.257236282"
"60","-0.2632116544","-0.2632116544","-0.2632116544"
"61","-0.2569172388","-0.2569172388","-0.2569172388"
"62","-0.2522276083","-0.2522276083","-0.2522276083"
"63","-0.2547363646","-0.2547363646","-0.2547363646"
"64","-0.2559441905","-0.2559441905","-0.2559441905"
"65","-0.2544591971","-0.2544591971","-0.2544591971"
"66","-0.2575746991","-0.2575746991","-0.2575746991"
"67","-0.2539430115","-0.2539430115","-0.2539430115"
"68","-0.2490118969","-0.2490118969","-0.2490118969"
"69","-0.2500140481","-0.2500140481","-0.2500140481"
"70","-0.2462221259","-0.2462221259","-0.2462221259"
"71","-0.2457642509","-0.2457642509","-0.2457642509"
"72","-0.2404675991","-0.2404675991","-0.2404675991"
"73","-0.2425690475","-0.2425690475","-0.2425690475"
"74","-0.2393153069","-0.2393153069","-0.2393153069"
"75","-0.2350851467","-0.2350851467","-0.2350851467"
"76","-0.2399644931","-0.2399644931","-0.2399644931"
"77","-0.2365772069","-0.2365772069","-0.2365772069"
"78","-0.232727108","-0.232727108","-0.232727108"
"79","-0.2294051291","-0.2294051291","-0.2294051291"
"80","-0.2301704789","-0.2301704789","-0.2301704789"
"81","-0.2333908381","-0.2333908381","-0.2333908381"
"82","-0.2356700227","-0.2356700227","-0.2356700227"
"83","-0.2278761554","-0.2278761554","-0.2278761554"
"84","-0.2339024018","-0.2339024018","-0.2339024018"
"85","-0.2381838498","-0.2381838498","-0.2381838498"
"86","-0.2294797637","-0.2294797637","-0.2294797637"
"87","-0.2313354316","-0.2313354316","-0.2313354316"
"88","-0.2308028284","-0.2308028284","-0.2308028284"
"89","-0.2273600274","-0.2273600274","-0.2273600274"
"90","-0.2243167007","-0.2243167007","-0.2243167007"
"91","-0.2257363072","-0.2257363072","-0.2257363072"
"92","-0.2193812989","-0.2193812989","-0.2193812989"
"93","-0.2208636218","-0.2208636218","-0.2208636218"
"94","-0.2166678254","-0.2166678254","-0.2166678254"
"95","-0.2227564561","-0.2227564561","-0.2227564561"
"96","-0.2219212036","-0.2219212036","-0.2219212036"
"97","-0.2230458678","-0.2230458678","-0.2230458678"
"98","-0.2250201966","-0.2250201966","-0.2250201966"
"99","-0.2221383366","-0.2221383366","-0.2221383366"
"100","-0.2203846955","-0.2203846955","-0.2203846955"
"101","-0.2209438765","-0.2209438765","-0.2209438765"
"102","-0.2193275443","-0.2193275443","-0.2193275443"
"103","-0.2205480215","-0.2205480215","-0.2205480215"
"104","-0.2165908457","-0.2165908457","-0.2165908457"
"105","-0.2172578182","-0.2172578182","-0.2172578182"
"106","-0.2123804014","-0.2123804014","-0.2123804014"
"107","-0.2125854426","-0.2125854426","-0.2125854426"
"108","-0.2179422447","-0.2179422447","-0.2179422447"
"109","-0.2134874112","-0.2134874112","-0.2134874112"
"110","-0.2157039029","-0.2157039029","-0.2157039029"
"111","-0.2159083331","-0.2159083331","-0.2159083331"
"112","-0.2144621518","-0.2144621518","-0.2144621518"
"113","-0.2270479359","-0.2270479359","-0.2270479359"
"114","-0.2246001863","-0.2246001863","-0.2246001863"
"115","-0.2209247662","-0.2209247662","-0.2209247662"
"116","-0.2187362679","-0.2187362679","-0.2187362679"
"117","-0.2204244401","-0.2204244401","-0.2204244401"
"118","-0.2245430639","-0.2245430639","-0.2245430639"
"119","-0.231198562","-0.231198562","-0.231198562"
"120","-0.2326293758","-0.2326293758","-0.2326293758"
"121","-0.2332547899","-0.2332547899","-0.2332547899"
"122","-0.2298154334","-0.2298154334","-0.2298154334"
"123","-0.2367051943","-0.2367051943","-0.2367051943"
"124","-0.2386610287","-0.2386610287","-0.2386610287"
"125","-0.2404331172","-0.2404331172","-0.2404331172"
"126","-0.2389972842","-0.2389972842","-0.2389972842"
"127","-0.2460935442","-0.2460935442","-0.2460935442"
"128","-0.2401087472","-0.2401087472","-0.2401087472"
"129","-0.2425585863","-0.2425585863","-0.2425585863"
"130","-0.2456161803","-0.2456161803","-0.2456161803"
"131","-0.2427084041","-0.2427084041","-0.2427084041"
"132","-0.2452761519","-0.2452761519","-0.2452761519"
"133","-0.245605979","-0.245605979","-0.245605979"
"134","-0.2490045959","-0.2490045959","-0.2490045959"
"135","-0.2480359159","-0.2480359159","-0.2480359159"
"136","-0.2579378448","-0.2579378448","-0.2579378448"
"137","-0.252933033","-0.252933033","-0.252933033"
"138","-0.2565528769","-0.2565528769","-0.2565528769"
"139","-0.25751183","-0.25751183","-0.25751183"
"140","-0.2547700636","-0.2547700636","-0.2547700636"
"141","-0.2546986796","-0.2546986796","-0.2546986796"
"142","-0.2571464233","-0.2571464233","-0.2571464233"
"143","-0.2621702172","-0.2621702172","-0.2621702172"
"144","-0.2562161903","-0.2562161903","-0.2562161903"
"145","-0.2540029059","-0.2540029059","-0.2540029059"
"146","-0.2561576597","-0.2561576597","-0.2561576597"
"147","-0.258631755","-0.258631755","-0.258631755"
"148","-0.2539263302","-0.2539263302","-0.2539263302"
"149","-0.258328364","-0.258328364","-0.258328364"
"150","-0.2590190446","-0.2590190446","-0.2590190446"
"151","-0.2522769042","-0.2522769042","-0.2522769042"
"152","-0.2513521852","-0.2513521852","-0.2513521852"
"153","-0.2485457243","-0.2485457243","-0.2485457243"
"154","-0.2499974525","-0.2499974525","-0.2499974525"
"155","-0.2503261861","-0.2503261861","-0.2503261861"
"156","-0.2489404676","-0.2489404676","-0.2489404676"
"157","-0.2501864327","-0.2501864327","-0.2501864327"
"158","-0.2473503406","-0.2473503406","-0.2473503406"
"159","-0.2471833699","-0.2471833699","-0.2471833699"
"160","-0.2443123807","-0.2443123807","-0.2443123807"
"161","-0.245147045","-0.245147045","-0.245147045"
"162","-0.2445727551","-0.2445727551","-0.2445727551"
"163","-0.239864086","-0.239864086","-0.239864086"
"164","-0.2400282228","-0.2400282228","-0.2400282228"
"165","-0.2366548856","-0.2366548856","-0.2366548856"
"166","-0.2318971982","-0.2318971982","-0.2318971982"
"167","-0.2328690047","-0.2328690047","-0.2328690047"
"168","-0.233051192","-0.233051192","-0.233051192"
"169","-0.2288517198","-0.2288517198","-0.2288517198"
"170","-0.2309061238","-0.2309061238","-0.2309061238"
"171","-0.230701442","-0.230701442","-0.230701442"
"172","-0.2251325609","-0.2251325609","-0.2251325609"
"173","-0.2325731671","-0.2325731671","-0.2325731671"
"174","-0.229772834","-0.229772834","-0.229772834"
"175","-0.2294285946","-0.2294285946","-0.2294285946"
"176","-0.2213073929","-0.2213073929","-0.2213073929"
"177","-0.2237247486","-0.2237247486","-0.2237247486"
"178","-0.2243141919","-0.2243141919","-0.2243141919"
"179","-0.2203101216","-0.2203101216","-0.2203101216"
"180","-0.220885192","-0.220885192","-0.220885192"
"181","-0.2223418835","-0.2223418835","-0.2223418835"
"182","-0.2173475786","-0.2173475786","-0.2173475786"
"183","-0.2184508427","-0.2184508427","-0.2184508427"
"184","-0.2165726943","-0.2165726943","-0.2165726943"
"185","-0.2155279445","-0.2155279445","-0.2155279445"
"186","-0.2171231553","-0.2171231553","-0.2171231553"
"187","-0.2162540634","-0.2162540634","-0.2162540634"
"188","-0.2169742659","-0.2169742659","-0.2169742659"
"189","-0.2130311393","-0.2130311393","-0.2130311393"
"190","-0.2102380794","-0.2102380794","-0.2102380794"
"191","-0.2139390129","-0.2139390129","-0.2139390129"
"192","-0.2160325211","-0.2160325211","-0.2160325211"
"193","-0.2088899902","-0.2088899902","-0.2088899902"
"194","-0.2116414338","-0.2116414338","-0.2116414338"
"195","-0.2078051378","-0.2078051378","-0.2078051378"
"196","-0.2085117835","-0.2085117835","-0.2085117835"
"197","-0.2052341856","-0.2052341856","-0.2052341856"
"198","-0.2060802764","-0.2060802764","-0.2060802764"
"199","-0.2054693458","-0.2054693458","-0.2054693458"
"200","-0.2076796838","-0.2076796838","-0.2076796838"
"201","-0.2025673057","-0.2025673057","-0.2025673057"
"202","-0.201421026","-0.201421026","-0.201421026"
"203","-0.2012660822","-0.2012660822","-0.2012660822"
"204","-0.1992245138","-0.1992245138","-0.1992245138"
"205","-0.1940787597","-0.1940787597","-0.1940787597"
"206","-0.2023257736","-0.2023257736","-0.2023257736"
"207","-0.1953410276","-0.1953410276","-0.1953410276"
"208","-0.1961855847","-0.1961855847","-0.1961855847"
"209","-0.1943411355","-0.1943411355","-0.1943411355"
"210","-0.1973214654","-0.1973214654","-0.1973214654"
"211","-0.1964501753","-0.1964501753","-0.1964501753"
"212","-0.1961941231","-0.1961941231","-0.1961941231"
"213","-0.1987570815","-0.1987570815","-0.1987570815"
"214","-0.1964916463","-0.1964916463","-0.1964916463"
"215","-0.1981064567","-0.1981064567","-0.1981064567"
"216","-0.196469905","-0.196469905","-0.196469905"
"217","-0.19653133","-0.19653133","-0.19653133"
"218","-0.1981049905","-0.1981049905","-0.1981049905"
"219","-0.1962646854","-0.1962646854","-0.1962646854"
"220","-0.1976722907","-0.1976722907","-0.1976722907"
"221","-0.195785615","-0.195785615","-0.195785615"
"222","-0.1912361588","-0.1912361588","-0.1912361588"
"223","-0.1939062238","-0.1939062238","-0.1939062238"
"224","-0.1944740136","-0.1944740136","-0.1944740136"
"225","-0.1877767324","-0.1877767324","-0.1877767324"
"226","-0.1878770826","-0.1878770826","-0.1878770826"
"227","-0.1925505961","-0.1925505961","-0.1925505961"
"228","-0.1888549844","-0.1888549844","-0.1888549844"
"229","-0.1913966156","-0.1913966156","-0.1913966156"
"230","-0.1874512082","-0.1874512082","-0.1874512082"
"231","-0.1877228967","-0.1877228967","-0.1877228967"
"232","-0.1819801464","-0.1819801464","-0.1819801464"
"233","-0.1828162478","-0.1828162478","-0.1828162478"
"234","-0.1866571767","-0.1866571767","-0.1866571767"
"235","-0.1794445948","-0.1794445948","-0.1794445948"
"236","-0.1833487033","-0.1833487033","-0.1833487033"
"237","-0.1813571755","-0.1813571755","-0.1813571755"
"238","-0.180761095","-0.180761095","-0.180761095"
"239","-0.1791235811","-0.1791235811","-0.1791235811"
"240","-0.1791237739","-0.1791237739","-0.1791237739"
"241","-0.1758420903","-0.1758420903","-0.1758420903"
"242","-0.1768363919","-0.1768363919","-0.1768363919"
"243","-0.1763138153","-0.1763138153","-0.1763138153"
"244","-0.1770472449","-0.1770472449","-0.1770472449"
"245","-0.1711987247","-0.1711987247","-0.1711987247"
"246","-0.1765002565","-0.1765002565","-0.1765002565"
"247","-0.1752374925","-0.1752374925","-0.1752374925"
"248","-0.1730396146","-0.1730396146","-0.1730396146"
"249","-0.1756801021","-0.1756801021","-0.1756801021"
"250","-0.1741634975","-0.1741634975","-0.1741634975"
"251","-0.1726894425","-0.1726894425","-0.1726894425"
"252","-0.1729467127","-0.1729467127","-0.1729467127"
"253","-0.1755119679","-0.1755119679","-0.1755119679"
"254","-0.1748814918","-0.1748814918","-0.1748814918"
"255","-0.1718393397","-0.1718393397","-0.1718393397"
"256","-0.1709612117","-0.1709612117","-0.1709612117"
"257","-0.1723850344","-0.1723850344","-0.1723850344"
"258","-0.1773843745","-0.1773843745","-0.1773843745"
"259","-0.1751797007","-0.1751797007","-0.1751797007"
"260","-0.1719852597","-0.1719852597","-0.1719852597"
"261","-0.1670835139","-0.1670835139","-0.1670835139"
"262","-0.1690699145","-0.1690699145","-0.1690699145"
"263","-0.1640321534","-0.1640321534","-0.1640321534"
"264","-0.167636522","-0.167636522","-0.167636522"
"265","-0.1636410127","-0.1636410127","-0.1636410127"
"266","-0.1603295272","-0.1603295272","-0.1603295272"
"267","-0.1640634338","-0.1640634338","-0.1640634338"
"268","-0.1607624049","-0.1607624049","-0.1607624049"
"269","-0.1593745463","-0.1593745463","-0.1593745463"
"270","-0.1560362298","-0.1560362298","-0.1560362298"
"271","-0.1454761042","-0.1454761042","-0.1454761042"
"272","-0.14214434","-0.14214434","-0.14214434"
"273","-0.1471584891","-0.1471584891","-0.1471584891"
"274","-0.1451413324","-0.1451413324","-0.1451413324"
"275","-0.1453060203","-0.1453060203","-0.1453060203"
"276","-0.1447917742","-0.1447917742","-0.1447917742"
"277","-0.141276563","-0.141276563","-0.141276563"
"278","-0.1385083953","-0.1385083953","-0.1385083953"
"279","-0.1423804778","-0.1423804778","-0.1423804778"
"280","-0.1374290037","-0.1374290037","-0.1374290037"
"281","-0.1312870104","-0.1312870104","-0.1312870104"
"282","-0.1375895273","-0.1375895273","-0.1375895273"
"283","-0.1384864166","-0.1384864166","-0.1384864166"
"284","-0.140761389","-0.140761389","-0.140761389"
"285","-0.1410463452","-0.1410463452","-0.1410463452"
"286","-0.1420795915","-0.1420795915","-0.1420795915"
"287","-0.1386190764","-0.1386190764","-0.1386190764"
"288","-0.1404575769","-0.1404575769","-0.1404575769"
"289","-0.140326875","-0.140326875","-0.140326875"
"290","-0.1330894062","-0.1330894062","-0.1330894062"
"291","-0.1417993988","-0.1417993988","-0.1417993988"
"292","-0.1411122263","-0.1411122263","-0.1411122263"
"293","-0.1457263848","-0.1457263848","-0.1457263848"
"294","-0.1408122047","-0.1408122047","-0.1408122047"
"295","-0.1377734214","-0.1377734214","-0.1377734214"
"296","-0.1436136387","-0.1436136387","-0.1436136387"
"297","-0.1315541201","-0.1315541201","-0.1315541201"
"298","-0.1342528514","-0.1342528514","-0.1342528514"
"299","-0.1322866356","-0.1322866356","-0.1322866356"
"300","-0.1290328092","-0.1290328092","-0.1290328092"
"301","-0.1312282786","-0.1312282786","-0.1312282786"
"302","-0.1328829757","-0.1328829757","-0.1328829757"
"303","-0.1331724401","-0.1331724401","-0.1331724401"
"304","-0.1228447519","-0.1228447519","-0.1228447519"
"305","-0.1228407043","-0.1228407043","-0.1228407043"
"306","-0.1245950445","-0.1245950445","-0.1245950445"
"307","-0.1287032232","-0.1287032232","-0.1287032232"
"308","-0.1233440675","-0.1233440675","-0.1233440675"
"309","-0.1182217382","-0.1182217382","-0.1182217382"
"310","-0.1177172732","-0.1177172732","-0.1177172732"
"311","-0.1232247818","-0.1232247818","-0.1232247818"
"312","-0.1153162126","-0.1153162126","-0.1153162126"
"313","-0.1179872674","-0.1179872674","-0.1179872674"
"314","-0.1220666289","-0.1220666289","-0.1220666289"
"315","-0.1163033505","-0.1163033505","-0.1163033505"
"316","-0.1180234367","-0.1180234367","-0.1180234367"
"317","-0.1196679452","-0.1196679452","-0.1196679452"
"318","-0.1065176708","-0.1065176708","-0.1065176708"
"319","-0.1123833613","-0.1123833613","-0.1123833613"
"320","-0.1084535142","-0.1084535142","-0.1084535142"
"321","-0.1041172542","-0.1041172542","-0.1041172542"
"322","-0.1126943833","-0.1126943833","-0.1126943833"
"323","-0.1007380806","-0.1007380806","-0.1007380806"
"324","-0.0991359578","-0.0991359578","-0.0991359578"
"325","-0.1078450584","-0.1078450584","-0.1078450584"
"326","-0.1079282032","-0.1079282032","-0.1079282032"
"327","-0.1037810694","-0.1037810694","-0.1037810694"
"328","-0.101285716","-0.101285716","-0.101285716"
"329","-0.1009632722","-0.1009632722","-0.1009632722"
"330","-0.0886293855","-0.0886293855","-0.0886293855"
"331","-0.0818852178","-0.0818852178","-0.0818852178"
"332","-0.0774954839","-0.0774954839","-0.0774954839"
"333","-0.0859576065","-0.0859576065","-0.0859576065"
"334","-0.0716937657","-0.0716937657","-0.0716937657"
"335","-0.0698314803","-0.0698314803","-0.0698314803"
"336","-0.0709895547","-0.0709895547","-0.0709895547"
"337","-0.0730984695","-0.0730984695","-0.0730984695"
"338","-0.0655767865","-0.0655767865","-0.0655767865"
"339","-0.0398045663","-0.0398045663","-0.0398045663"
"340","-0.0607847869","-0.0607847869","-0.0607847869"
"341","-0.0595174154","-0.0595174154","-0.0595174154"
"342","-0.0429045717","-0.0429045717","-0.0429045717"
"343","-0.0366884937","-0.0366884937","-0.0366884937"
"344","-0.0525294197","-0.0525294197","-0.0525294197"
"345","-0.0554550722","-0.0554550722","-0.0554550722"
"346","-0.0352890958","-0.0352890958","-0.0352890958"
"347","-0.0260207457","-0.0260207457","-0.0260207457"
"348","0.0000683989","0.0000683989","0.0000683989"
"349","0.0045576625","0.0045576625","0.0045576625"
"350","-0.018492501","-0.018492501","-0.018492501"
"351","0.0083450635","0.0083450635","0.0083450635"
"352","0.0038590035","0.0038590035","0.0038590035"
"353","0.0254970159","0.0254970159","0.0254970159"
"354","0.0381262126","0.0381262126","0.0381262126"
"355","0.0268872016","0.0268872016","0.0268872016"
"356","0.040786419","0.040786419","0.040786419"
"357","0.0608244482","0.0608244482","0.0608244482"
"358","0.050784554","0.050784554","0.050784554"
"359","0.0550533942","0.0550533942","0.0550533942"
"360","0.0695418704","0.0695418704","0.0695418704"
"361","0.0479657827","0.0479657827","0.0479657827"
"362","0.1042115922","0.1042115922","0.1042115922"
"363","0.0748298423","0.0748298423","0.0748298423"
"364","0.0943818854","0.0943818854","0.0943818854"
"365","0.086609843","0.086609843","0.086609843"
"366","0.0697852171","0.0697852171","0.0697852171"
"367","0.0732985938","0.0732985938","0.0732985938"
"368","0.0822199338","0.0822199338","0.0822199338"
"369","0.1112382036","0.1112382036","0.1112382036"
"370","0.0956741531","0.0956741531","0.0956741531"
"371","0.0963580708","0.0963580708","0.0963580708"
"372","0.1008790527","0.1008790527","0.1008790527"
"373","0.1643701757","0.1643701757","0.1643701757"
"374","0.1408195055","0.1408195055","0.1408195055"
"375","0.1718135543","0.1718135543","0.1718135543"
"376","0.1830493763","0.1830493763","0.1830493763"
"377","0.1589630842","0.1589630842","0.1589630842"
"378","0.2025133664","0.2025133664","0.2025133664"
"379","0.1478165277","0.1478165277","0.1478165277"
"380","0.1650251561","0.1650251561","0.1650251561"
"381","0.2278096242","0.2278096242","0.2278096242"
"382","0.2259036946","0.2259036946","0.2259036946"
"383","0.2190347738","0.2190347738","0.2190347738"
"384","0.2091226834","0.2091226834","0.2091226834"
"385","0.2677725003","0.2677725003","0.2677725003"
"386","0.3140697492","0.3140697492","0.3140697492"
"387","0.2891293036","0.2891293036","0.2891293036"
"388","0.3127291982","0.3127291982","0.3127291982"
"389","0.2860883918","0.2860883918","0.2860883918"
"390","0.3191150192","0.3191150192","0.3191150192"
"391","0.3494026825","0.3494026825","0.3494026825"
"392","0.3915348133","0.3915348133","0.3915348133"
"393","0.3239252577","0.3239252577","0.3239252577"
"394","0.3752483531","0.3752483531","0.3752483531"
"395","0.3691409492","0.3691409492","0.3691409492"
"396","0.415803011","0.415803011","0.415803011"
"397","0.4458031945","0.4458031945","0.4458031945"
"398","0.4794669523","0.4794669523","0.4794669523"
"399","0.428624757","0.428624757","0.428624757"
"400","0.4613254784","0.4613254784","0.4613254784"
"401","0.510935433","0.510935433","0.510935433"
"402","0.5101662072","0.5101662072","0.5101662072"
"403","0.4688729709","0.4688729709","0.4688729709"
"404","0.490285938","0.490285938","0.490285938"
"405","0.4029186099","0.4029186099","0.4029186099"
"406","0.5835636867","0.5835636867","0.5835636867"
"407","0.5964501573","0.5964501573","0.5964501573"
"408","0.6029436015","0.6029436015","0.6029436015"
"409","0.4966263973","0.4966263973","0.4966263973"
"410","0.6140640005","0.6140640005","0.6140640005"
"411","0.7329269132","0.7329269132","0.7329269132"
"412","0.6622767927","0.6622767927","0.6622767927"
"413","0.7603684009","0.7603684009","0.7603684009"
"414","0.7052148676","0.7052148676","0.7052148676"
"415","0.8361587909","0.8361587909","0.8361587909"
"416","0.7236470735","0.7236470735","0.7236470735"
"417","0.7820836021","0.7820836021","0.7820836021"
"418","0.823333973","0.823333973","0.823333973"
"419","0.8508366133","0.8508366133","0.8508366133"
"420","0.7835484375","0.7835484375","0.7835484375"
"421","0.8213347445","0.8213347445","0.8213347445"
"422","0.8156872176","0.8156872176","0.8156872176"
"423","0.9290454643","0.9290454643","0.9290454643"
"424","0.8024083412","0.8024083412","0.8024083412"
"425","0.9144274639","0.9144274639","0.9144274639"
"426","0.9020032214","0.9020032214","0.9020032214"
"427","0.8635127553","0.8635127553","0.8635127553"
"428","0.9603369085","0.9603369085","0.9603369085"
"429","0.822422387","0.822422387","0.822422387"
"430","0.9157302774","0.9157302774","0.9157302774"
"431","0.9586622256","0.9586622256","0.9586622256"
"432","0.9605654413","0.9605654413","0.9605654413"
"433","1.0851039519","1.0851039519","1.0851039519"
"434","1.1361434254","1.1361434254","1.1361434254"
"435","1.0938640111","1.0938640111","1.0938640111"
"436","1.0877729881","1.0877729881","1.0877729881"
"437","1.2511288812","1.2511288812","1.2511288812"
"438","1.1603799957","1.1603799957","1.1603799957"
"439","1.2100911985","1.2100911985","1.2100911985"
"440","1.3373074184","1.3373074184","1.3373074184"
"441","1.2749421217","1.2749421217","1.2749421217"
"442","1.2459929987","1.2459929987","1.2459929987"
"443","1.493164603","1.493164603","1.493164603"
"444","1.543566323","1.543566323","1.543566323"
"445","1.5002892269","1.5002892269","1.5002892269"
"446","1.4065550822","1.4065550822","1.4065550822"
"447","1.5116436563","1.5116436563","1.5116436563"
"448","1.4575894171","1.4575894171","1.4575894171"
"449","1.539632051","1.539632051","1.539632051"
"450","1.388646744","1.388646744","1.388646744"
"451","1.416308361","1.416308361","1.416308361"
"452","1.3580669774","1.3580669774","1.3580669774"
"453","1.4629269393","1.4629269393","1.4629269393"
"454","1.7113423241","1.7113423241","1.7113423241"
"455","1.4674775874","1.4674775874","1.4674775874"
"456","1.7542406578","1.7542406578","1.7542406578"
"457","1.6867536021","1.6867536021","1.6867536021"
"458","1.6153542722","1.6153542722","1.6153542722"
"459","1.702163845","1.702163845","1.702163845"
"460","1.7073090698","1.7073090698","1.7073090698"
"461","1.6978241541","1.6978241541","1.6978241541"
"462","1.7334387746","1.7334387746","1.7334387746"
"463","1.9612369493","1.9612369493","1.9612369493"
"464","2.0424235629","2.0424235629","2.0424235629"
"465","1.8943390321","1.8943390321","1.8943390321"
"466","2.1432957523","2.1432957523","2.1432957523"
"467","2.1414413013","2.1414413013","2.1414413013"
"468","2.2427602807","2.2427602807","2.2427602807"
"469","2.3332950335","2.3332950335","2.3332950335"
"470","2.1193916545","2.1193916545","2.1193916545"
"471","2.317542483","2.317542483","2.317542483"
"472","2.3528156997","2.3528156997","2.3528156997"
"473","2.2664411829","2.2664411829","2.2664411829"
"474","2.24318386","2.24318386","2.24318386"
"475","2.3904155169","2.3904155169","2.3904155169"
"476","2.158584192","2.158584192","2.158584192"
"477","2.4368187113","2.4368187113","2.4368187113"
"478","2.6713476981","2.6713476981","2.6713476981"
"479","2.4370479046","2.4370479046","2.4370479046"
"480","2.565237067","2.565237067","2.565237067"
"481","2.445240202","2.445240202","2.445240202"
"482","2.4785351013","2.4785351013","2.4785351013"
"483","2.8084317664","2.8084317664","2.8084317664"
"484","2.5888491224","2.5888491224","2.5888491224"
"485","3.0441208088","3.0441208088","3.0441208088"
"486","2.6750361267","2.6750361267","2.6750361267"
"487","2.8791092196","2.8791092196","2.8791092196"
"488","2.6792012539","2.6792012539","2.6792012539"
"489","2.7939815851","2.7939815851","2.7939815851"
"490","2.7325996953","2.7325996953","2.7325996953"
"491","2.7326623541","2.7326623541","2.7326623541"
"492","2.9797040083","2.9797040083","2.9797040083"
"493","3.3082704311","3.3082704311","3.3082704311"
"494","3.1195071699","3.1195071699","3.1195071699"
"495","3.4349844381","3.4349844381","3.4349844381"
