"Step","PPO_short_test_track - loss_actor","PPO_short_test_track - loss_actor__MIN","PPO_short_test_track - loss_actor__MAX"
"0","0.025962865","0.025962865","0.025962865"
"1","0.0230068223","0.0230068223","0.0230068223"
"2","0.0217243966","0.0217243966","0.0217243966"
"3","0.0171045849","0.0171045849","0.0171045849"
"4","0.0211658947","0.0211658947","0.0211658947"
"5","0.0305563736","0.0305563736","0.0305563736"
"6","0.0155406976","0.0155406976","0.0155406976"
"7","0.016423878","0.016423878","0.016423878"
"8","0.0198663363","0.0198663363","0.0198663363"
"9","0.0195963093","0.0195963093","0.0195963093"
"10","0.0168997592","0.0168997592","0.0168997592"
"11","0.0240923488","0.0240923488","0.0240923488"
"12","0.0192150154","0.0192150154","0.0192150154"
"13","0.0213318165","0.0213318165","0.0213318165"
"14","0.0215732219","0.0215732219","0.0215732219"
"15","0.0380963319","0.0380963319","0.0380963319"
"16","0.0235393796","0.0235393796","0.0235393796"
"17","0.0272797423","0.0272797423","0.0272797423"
"18","0.0239433271","0.0239433271","0.0239433271"
"19","0.0240009617","0.0240009617","0.0240009617"
"20","0.0240886268","0.0240886268","0.0240886268"
"21","0.0254023234","0.0254023234","0.0254023234"
"22","0.0150354871","0.0150354871","0.0150354871"
"23","0.0152616497","0.0152616497","0.0152616497"
"24","0.019610188","0.019610188","0.019610188"
"25","0.0176046512","0.0176046512","0.0176046512"
"26","0.021995607","0.021995607","0.021995607"
"27","0.026159255","0.026159255","0.026159255"
"28","0.0197152683","0.0197152683","0.0197152683"
"29","0.0200660367","0.0200660367","0.0200660367"
"30","0.0182368072","0.0182368072","0.0182368072"
"31","0.0232799479","0.0232799479","0.0232799479"
"32","0.0240823486","0.0240823486","0.0240823486"
"33","0.0229887919","0.0229887919","0.0229887919"
"34","0.0202089274","0.0202089274","0.0202089274"
"35","0.0217954914","0.0217954914","0.0217954914"
"36","0.0234288811","0.0234288811","0.0234288811"
"37","0.0233442807","0.0233442807","0.0233442807"
"38","0.0215984722","0.0215984722","0.0215984722"
"39","0.0166568003","0.0166568003","0.0166568003"
"40","0.0153233319","0.0153233319","0.0153233319"
"41","0.0188101866","0.0188101866","0.0188101866"
"42","0.0186654978","0.0186654978","0.0186654978"
"43","0.0163996406","0.0163996406","0.0163996406"
"44","0.0301395942","0.0301395942","0.0301395942"
"45","0.0225823398","0.0225823398","0.0225823398"
"46","0.0243062586","0.0243062586","0.0243062586"
"47","0.0163056754","0.0163056754","0.0163056754"
"48","0.0224963293","0.0224963293","0.0224963293"
"49","0.020340386","0.020340386","0.020340386"
"50","0.0207861013","0.0207861013","0.0207861013"
"51","0.0208989098","0.0208989098","0.0208989098"
"52","0.0161222985","0.0161222985","0.0161222985"
"53","0.0237616008","0.0237616008","0.0237616008"
"54","0.023874706","0.023874706","0.023874706"
"55","0.020934552","0.020934552","0.020934552"
"56","0.0225980144","0.0225980144","0.0225980144"
"57","0.0181596542","0.0181596542","0.0181596542"
"58","0.0391996725","0.0391996725","0.0391996725"
"59","0.0207490086","0.0207490086","0.0207490086"
"60","0.0196079509","0.0196079509","0.0196079509"
"61","0.0340928309","0.0340928309","0.0340928309"
"62","0.0176209686","0.0176209686","0.0176209686"
"63","0.016210728","0.016210728","0.016210728"
"64","0.0225647472","0.0225647472","0.0225647472"
"65","0.0200068526","0.0200068526","0.0200068526"
"66","0.0321333875","0.0321333875","0.0321333875"
"67","0.0302638616","0.0302638616","0.0302638616"
"68","0.017307955","0.017307955","0.017307955"
"69","0.0157920844","0.0157920844","0.0157920844"
"70","0.0165453412","0.0165453412","0.0165453412"
"71","0.0225288947","0.0225288947","0.0225288947"
"72","0.0206124044","0.0206124044","0.0206124044"
"73","0.0192202132","0.0192202132","0.0192202132"
"74","0.0258024399","0.0258024399","0.0258024399"
"75","0.0160864235","0.0160864235","0.0160864235"
"76","0.0180180525","0.0180180525","0.0180180525"
"77","0.0165916408","0.0165916408","0.0165916408"
"78","0.0238026755","0.0238026755","0.0238026755"
"79","0.0240862739","0.0240862739","0.0240862739"
"80","0.019239876","0.019239876","0.019239876"
"81","0.0196251124","0.0196251124","0.0196251124"
"82","0.0174482844","0.0174482844","0.0174482844"
"83","0.0158700458","0.0158700458","0.0158700458"
"84","0.0167605189","0.0167605189","0.0167605189"
"85","0.0172891054","0.0172891054","0.0172891054"
"86","0.018930326","0.018930326","0.018930326"
"87","0.0459653895","0.0459653895","0.0459653895"
"88","0.0222631712","0.0222631712","0.0222631712"
"89","0.020025977","0.020025977","0.020025977"
"90","0.0256044947","0.0256044947","0.0256044947"
"91","0.0266446501","0.0266446501","0.0266446501"
"92","0.0164070137","0.0164070137","0.0164070137"
"93","0.017760796","0.017760796","0.017760796"
"94","0.0200251849","0.0200251849","0.0200251849"
"95","0.0225137939","0.0225137939","0.0225137939"
"96","0.0204136817","0.0204136817","0.0204136817"
"97","0.0197142301","0.0197142301","0.0197142301"
"98","0.01897457","0.01897457","0.01897457"
"99","0.0213727255","0.0213727255","0.0213727255"
"100","0.0266782702","0.0266782702","0.0266782702"
"101","0.0175482997","0.0175482997","0.0175482997"
"102","0.0229973545","0.0229973545","0.0229973545"
"103","0.0220087599","0.0220087599","0.0220087599"
"104","0.0215386286","0.0215386286","0.0215386286"
"105","0.0201825231","0.0201825231","0.0201825231"
"106","0.0199264587","0.0199264587","0.0199264587"
"107","0.0230612441","0.0230612441","0.0230612441"
"108","0.0197425602","0.0197425602","0.0197425602"
"109","0.0221149177","0.0221149177","0.0221149177"
"110","0.0161685288","0.0161685288","0.0161685288"
"111","0.0402434112","0.0402434112","0.0402434112"
"112","0.0221947557","0.0221947557","0.0221947557"
"113","0.0216394145","0.0216394145","0.0216394145"
"114","0.0196195857","0.0196195857","0.0196195857"
"115","0.0191438011","0.0191438011","0.0191438011"
"116","0.0205564951","0.0205564951","0.0205564951"
"117","0.0231586492","0.0231586492","0.0231586492"
"118","0.0193611474","0.0193611474","0.0193611474"
"119","0.0193410299","0.0193410299","0.0193410299"
"120","0.0238610061","0.0238610061","0.0238610061"
"121","0.0215966065","0.0215966065","0.0215966065"
"122","0.0215512612","0.0215512612","0.0215512612"
"123","0.0255585432","0.0255585432","0.0255585432"
"124","0.0167503099","0.0167503099","0.0167503099"
"125","0.0178982062","0.0178982062","0.0178982062"
"126","0.0217442758","0.0217442758","0.0217442758"
"127","0.0159263424","0.0159263424","0.0159263424"
"128","0.0258269622","0.0258269622","0.0258269622"
"129","0.0174913691","0.0174913691","0.0174913691"
"130","0.0153601836","0.0153601836","0.0153601836"
"131","0.049513812","0.049513812","0.049513812"
"132","0.0181874956","0.0181874956","0.0181874956"
"133","0.0181143122","0.0181143122","0.0181143122"
"134","0.022862187","0.022862187","0.022862187"
"135","0.0133433222","0.0133433222","0.0133433222"
"136","0.0219648265","0.0219648265","0.0219648265"
"137","0.0163575471","0.0163575471","0.0163575471"
"138","0.0233954837","0.0233954837","0.0233954837"
"139","0.0163278107","0.0163278107","0.0163278107"
"140","0.0200747141","0.0200747141","0.0200747141"
"141","0.0172757016","0.0172757016","0.0172757016"
"142","0.0305896588","0.0305896588","0.0305896588"
"143","0.0241729042","0.0241729042","0.0241729042"
"144","0.0192183474","0.0192183474","0.0192183474"
"145","0.0172974864","0.0172974864","0.0172974864"
"146","0.014970674","0.014970674","0.014970674"
"147","0.0176746224","0.0176746224","0.0176746224"
"148","0.015587845","0.015587845","0.015587845"
"149","0.0215477894","0.0215477894","0.0215477894"
"150","0.0233823339","0.0233823339","0.0233823339"
"151","0.0260061638","0.0260061638","0.0260061638"
"152","0.021169489","0.021169489","0.021169489"
"153","0.0237868257","0.0237868257","0.0237868257"
"154","0.018921361","0.018921361","0.018921361"
"155","0.0203770824","0.0203770824","0.0203770824"
"156","0.0202396319","0.0202396319","0.0202396319"
"157","0.0207603215","0.0207603215","0.0207603215"
"158","0.0218120356","0.0218120356","0.0218120356"
"159","0.0213922369","0.0213922369","0.0213922369"
"160","0.017996426","0.017996426","0.017996426"
"161","0.0188152404","0.0188152404","0.0188152404"
"162","0.0275119115","0.0275119115","0.0275119115"
"163","0.0324519228","0.0324519228","0.0324519228"
"164","0.0164716749","0.0164716749","0.0164716749"
"165","0.0165055644","0.0165055644","0.0165055644"
"166","0.0173407035","0.0173407035","0.0173407035"
"167","0.0405050319","0.0405050319","0.0405050319"
"168","0.0258490894","0.0258490894","0.0258490894"
"169","0.0218244715","0.0218244715","0.0218244715"
"170","0.0273890749","0.0273890749","0.0273890749"
"171","0.0207264169","0.0207264169","0.0207264169"
"172","0.0225374286","0.0225374286","0.0225374286"
"173","0.0231191793","0.0231191793","0.0231191793"
"174","0.0238304252","0.0238304252","0.0238304252"
"175","0.0207210885","0.0207210885","0.0207210885"
"176","0.0185966929","0.0185966929","0.0185966929"
"177","0.0203975485","0.0203975485","0.0203975485"
"178","0.0210219098","0.0210219098","0.0210219098"
"179","0.0185692676","0.0185692676","0.0185692676"
"180","0.018998927","0.018998927","0.018998927"
"181","0.0210095771","0.0210095771","0.0210095771"
"182","0.0201249021","0.0201249021","0.0201249021"
"183","0.0201681713","0.0201681713","0.0201681713"
"184","0.0204438971","0.0204438971","0.0204438971"
"185","0.0211774015","0.0211774015","0.0211774015"
"186","0.0178918769","0.0178918769","0.0178918769"
"187","0.022691455","0.022691455","0.022691455"
"188","0.024054247","0.024054247","0.024054247"
"189","0.0180871194","0.0180871194","0.0180871194"
"190","0.0205537828","0.0205537828","0.0205537828"
"191","0.018466292","0.018466292","0.018466292"
"192","0.0301918267","0.0301918267","0.0301918267"
"193","0.0241273987","0.0241273987","0.0241273987"
"194","0.0178372215","0.0178372215","0.0178372215"
"195","0.0210018565","0.0210018565","0.0210018565"
"196","0.0187356143","0.0187356143","0.0187356143"
"197","0.0224080151","0.0224080151","0.0224080151"
"198","0.0190870086","0.0190870086","0.0190870086"
"199","0.0166738262","0.0166738262","0.0166738262"
"200","0.0304491287","0.0304491287","0.0304491287"
"201","0.0201621151","0.0201621151","0.0201621151"
"202","0.0180143586","0.0180143586","0.0180143586"
"203","0.0192876058","0.0192876058","0.0192876058"
"204","0.0206655468","0.0206655468","0.0206655468"
"205","0.0146310674","0.0146310674","0.0146310674"
"206","0.0265905952","0.0265905952","0.0265905952"
"207","0.0180660696","0.0180660696","0.0180660696"
"208","0.0179672485","0.0179672485","0.0179672485"
"209","0.0178345703","0.0178345703","0.0178345703"
"210","0.0209215756","0.0209215756","0.0209215756"
"211","0.0223449256","0.0223449256","0.0223449256"
"212","0.0194092366","0.0194092366","0.0194092366"
"213","0.0230792504","0.0230792504","0.0230792504"
"214","0.0195716283","0.0195716283","0.0195716283"
"215","0.0238984098","0.0238984098","0.0238984098"
"216","0.0167405013","0.0167405013","0.0167405013"
"217","0.0165227023","0.0165227023","0.0165227023"
"218","0.0209422337","0.0209422337","0.0209422337"
"219","0.0223161578","0.0223161578","0.0223161578"
"220","0.0206963095","0.0206963095","0.0206963095"
"221","0.015055932","0.015055932","0.015055932"
"222","0.0208056552","0.0208056552","0.0208056552"
"223","0.0243573511","0.0243573511","0.0243573511"
"224","0.0171112831","0.0171112831","0.0171112831"
"225","0.0220120923","0.0220120923","0.0220120923"
"226","0.0218302711","0.0218302711","0.0218302711"
"227","0.0203175087","0.0203175087","0.0203175087"
"228","0.0203897396","0.0203897396","0.0203897396"
"229","0.0193038305","0.0193038305","0.0193038305"
"230","0.0340353891","0.0340353891","0.0340353891"
"231","0.0209736521","0.0209736521","0.0209736521"
"232","0.0197639327","0.0197639327","0.0197639327"
"233","0.0184069578","0.0184069578","0.0184069578"
"234","0.0192276578","0.0192276578","0.0192276578"
"235","0.0181878964","0.0181878964","0.0181878964"
"236","0.0168348403","0.0168348403","0.0168348403"
"237","0.0149231581","0.0149231581","0.0149231581"
"238","0.0255677833","0.0255677833","0.0255677833"
"239","0.0237028308","0.0237028308","0.0237028308"
"240","0.0217535978","0.0217535978","0.0217535978"
"241","0.0215984404","0.0215984404","0.0215984404"
"242","0.0240620901","0.0240620901","0.0240620901"
"243","0.0199636915","0.0199636915","0.0199636915"
"244","0.0256342341","0.0256342341","0.0256342341"
"245","0.0184556326","0.0184556326","0.0184556326"
"246","0.02125577","0.02125577","0.02125577"
"247","0.0187499263","0.0187499263","0.0187499263"
"248","0.0197299338","0.0197299338","0.0197299338"
"249","0.0154433362","0.0154433362","0.0154433362"
"250","0.0222951631","0.0222951631","0.0222951631"
"251","0.0212913299","0.0212913299","0.0212913299"
"252","0.0211172908","0.0211172908","0.0211172908"
"253","0.0247862076","0.0247862076","0.0247862076"
"254","0.0180953949","0.0180953949","0.0180953949"
"255","0.0162396432","0.0162396432","0.0162396432"
"256","0.0197924693","0.0197924693","0.0197924693"
"257","0.0203736953","0.0203736953","0.0203736953"
"258","0.0194815017","0.0194815017","0.0194815017"
"259","0.0159124368","0.0159124368","0.0159124368"
"260","0.0182933269","0.0182933269","0.0182933269"
"261","0.0151983197","0.0151983197","0.0151983197"
"262","0.0215817722","0.0215817722","0.0215817722"
"263","0.0219278674","0.0219278674","0.0219278674"
"264","0.0170555558","0.0170555558","0.0170555558"
"265","0.0192306757","0.0192306757","0.0192306757"
"266","0.0179673129","0.0179673129","0.0179673129"
"267","0.0174975861","0.0174975861","0.0174975861"
"268","0.0173115806","0.0173115806","0.0173115806"
"269","0.0123524939","0.0123524939","0.0123524939"
"270","0.0198197352","0.0198197352","0.0198197352"
"271","0.0201769413","0.0201769413","0.0201769413"
"272","0.0172681386","0.0172681386","0.0172681386"
"273","0.0208272805","0.0208272805","0.0208272805"
"274","0.0173257961","0.0173257961","0.0173257961"
"275","0.0174318155","0.0174318155","0.0174318155"
"276","0.0194628685","0.0194628685","0.0194628685"
"277","0.0253694","0.0253694","0.0253694"
"278","0.0185024577","0.0185024577","0.0185024577"
"279","0.0211301688","0.0211301688","0.0211301688"
"280","0.0230597461","0.0230597461","0.0230597461"
"281","0.0145317014","0.0145317014","0.0145317014"
"282","0.022633184","0.022633184","0.022633184"
"283","0.0197618127","0.0197618127","0.0197618127"
"284","0.017250728","0.017250728","0.017250728"
"285","0.0188464024","0.0188464024","0.0188464024"
"286","0.0198658529","0.0198658529","0.0198658529"
"287","0.0203060275","0.0203060275","0.0203060275"
"288","0.0187837479","0.0187837479","0.0187837479"
"289","0.017381671","0.017381671","0.017381671"
"290","0.0176765282","0.0176765282","0.0176765282"
"291","0.0195417171","0.0195417171","0.0195417171"
"292","0.0209704451","0.0209704451","0.0209704451"
"293","0.0171604454","0.0171604454","0.0171604454"
"294","0.0224732713","0.0224732713","0.0224732713"
"295","0.0168090669","0.0168090669","0.0168090669"
"296","0.0158040866","0.0158040866","0.0158040866"
"297","0.0220583317","0.0220583317","0.0220583317"
"298","0.0177222843","0.0177222843","0.0177222843"
"299","0.0189780956","0.0189780956","0.0189780956"
"300","0.0204944891","0.0204944891","0.0204944891"
"301","0.0184934067","0.0184934067","0.0184934067"
"302","0.0174882719","0.0174882719","0.0174882719"
"303","0.0195044427","0.0195044427","0.0195044427"
"304","0.0136413058","0.0136413058","0.0136413058"
"305","0.0187805421","0.0187805421","0.0187805421"
"306","0.0178297737","0.0178297737","0.0178297737"
"307","0.021962156","0.021962156","0.021962156"
"308","0.0172713013","0.0172713013","0.0172713013"
"309","0.0272352956","0.0272352956","0.0272352956"
"310","0.0144057309","0.0144057309","0.0144057309"
"311","0.0191222388","0.0191222388","0.0191222388"
"312","0.0241773541","0.0241773541","0.0241773541"
"313","0.0179971786","0.0179971786","0.0179971786"
"314","0.0254771086","0.0254771086","0.0254771086"
"315","0.0231778162","0.0231778162","0.0231778162"
"316","0.0261715671","0.0261715671","0.0261715671"
"317","0.0231635275","0.0231635275","0.0231635275"
"318","0.0186935092","0.0186935092","0.0186935092"
"319","0.0219640869","0.0219640869","0.0219640869"
"320","0.0251844631","0.0251844631","0.0251844631"
"321","0.0225748605","0.0225748605","0.0225748605"
"322","0.017819346","0.017819346","0.017819346"
"323","0.020023993","0.020023993","0.020023993"
"324","0.025998154","0.025998154","0.025998154"
"325","0.0165392155","0.0165392155","0.0165392155"
"326","0.0200706044","0.0200706044","0.0200706044"
"327","0.0251638881","0.0251638881","0.0251638881"
"328","0.020964864","0.020964864","0.020964864"
"329","0.0171497447","0.0171497447","0.0171497447"
"330","0.0175876044","0.0175876044","0.0175876044"
"331","0.0167436447","0.0167436447","0.0167436447"
"332","0.0181807535","0.0181807535","0.0181807535"
"333","0.0200975133","0.0200975133","0.0200975133"
"334","0.0175346874","0.0175346874","0.0175346874"
"335","0.0186661055","0.0186661055","0.0186661055"
"336","0.017098432","0.017098432","0.017098432"
"337","0.023865572","0.023865572","0.023865572"
"338","0.0196754437","0.0196754437","0.0196754437"
"339","0.019681414","0.019681414","0.019681414"
"340","0.0311811215","0.0311811215","0.0311811215"
"341","0.0213922103","0.0213922103","0.0213922103"
"342","0.0246677017","0.0246677017","0.0246677017"
"343","0.0171454204","0.0171454204","0.0171454204"
"344","0.0241545692","0.0241545692","0.0241545692"
"345","0.0293860375","0.0293860375","0.0293860375"
"346","0.0251970072","0.0251970072","0.0251970072"
"347","0.0183113541","0.0183113541","0.0183113541"
"348","0.0212818189","0.0212818189","0.0212818189"
"349","0.0173674314","0.0173674314","0.0173674314"
"350","0.031406783","0.031406783","0.031406783"
"351","0.016061164","0.016061164","0.016061164"
"352","0.0273241337","0.0273241337","0.0273241337"
"353","0.0209999252","0.0209999252","0.0209999252"
"354","0.0224325174","0.0224325174","0.0224325174"
"355","0.0248489394","0.0248489394","0.0248489394"
"356","0.0260109262","0.0260109262","0.0260109262"
"357","0.0173030655","0.0173030655","0.0173030655"
"358","0.0198754019","0.0198754019","0.0198754019"
"359","0.0168915636","0.0168915636","0.0168915636"
"360","0.0250661525","0.0250661525","0.0250661525"
"361","0.0209360256","0.0209360256","0.0209360256"
"362","0.0156028366","0.0156028366","0.0156028366"
"363","0.020629264","0.020629264","0.020629264"
"364","0.0154098965","0.0154098965","0.0154098965"
"365","0.0169666821","0.0169666821","0.0169666821"
"366","0.0204722651","0.0204722651","0.0204722651"
"367","0.0241618663","0.0241618663","0.0241618663"
"368","0.0188084166","0.0188084166","0.0188084166"
"369","0.0177199311","0.0177199311","0.0177199311"
"370","0.0194730695","0.0194730695","0.0194730695"
"371","0.0192722439","0.0192722439","0.0192722439"
"372","0.0207067741","0.0207067741","0.0207067741"
"373","0.0186352087","0.0186352087","0.0186352087"
"374","0.0266606529","0.0266606529","0.0266606529"
"375","0.0175400071","0.0175400071","0.0175400071"
"376","0.0331414247","0.0331414247","0.0331414247"
"377","0.0201280531","0.0201280531","0.0201280531"
"378","0.0222029553","0.0222029553","0.0222029553"
"379","0.2604650476","0.2604650476","0.2604650476"
"380","0.0143212424","0.0143212424","0.0143212424"
"381","0.0178709671","0.0178709671","0.0178709671"
"382","0.0194722665","0.0194722665","0.0194722665"
"383","0.0557170117","0.0557170117","0.0557170117"
"384","0.023664329","0.023664329","0.023664329"
"385","0.0300540728","0.0300540728","0.0300540728"
"386","0.0176216594","0.0176216594","0.0176216594"
"387","0.0151231897","0.0151231897","0.0151231897"
"388","0.0213212298","0.0213212298","0.0213212298"
"389","0.0185059985","0.0185059985","0.0185059985"
"390","0.0231528467","0.0231528467","0.0231528467"
"391","0.0184891554","0.0184891554","0.0184891554"
"392","0.0216652251","0.0216652251","0.0216652251"
"393","0.0161207624","0.0161207624","0.0161207624"
"394","0.0175280547","0.0175280547","0.0175280547"
"395","0.0230476104","0.0230476104","0.0230476104"
"396","0.020234226","0.020234226","0.020234226"
"397","0.0187915504","0.0187915504","0.0187915504"
"398","0.0141765664","0.0141765664","0.0141765664"
"399","0.014657206","0.014657206","0.014657206"
"400","0.0175548055","0.0175548055","0.0175548055"
"401","0.0218261864","0.0218261864","0.0218261864"
"402","0.0288851025","0.0288851025","0.0288851025"
"403","0.0202162632","0.0202162632","0.0202162632"
"404","0.023078399","0.023078399","0.023078399"
"405","0.0224503772","0.0224503772","0.0224503772"
"406","0.0208201394","0.0208201394","0.0208201394"
"407","0.0166793889","0.0166793889","0.0166793889"
"408","0.0221257391","0.0221257391","0.0221257391"
"409","0.0204669809","0.0204669809","0.0204669809"
"410","0.0192572889","0.0192572889","0.0192572889"
"411","0.0190658559","0.0190658559","0.0190658559"
"412","0.0190606746","0.0190606746","0.0190606746"
"413","0.0241875127","0.0241875127","0.0241875127"
"414","0.0197110239","0.0197110239","0.0197110239"
"415","0.0184718474","0.0184718474","0.0184718474"
"416","0.0214428979","0.0214428979","0.0214428979"
"417","0.0244366223","0.0244366223","0.0244366223"
"418","0.0165255926","0.0165255926","0.0165255926"
"419","0.0164484769","0.0164484769","0.0164484769"
"420","0.0223073401","0.0223073401","0.0223073401"
"421","0.0208751015","0.0208751015","0.0208751015"
"422","0.0247348492","0.0247348492","0.0247348492"
"423","0.0221950701","0.0221950701","0.0221950701"
"424","0.0192701199","0.0192701199","0.0192701199"
"425","0.0214026967","0.0214026967","0.0214026967"
"426","0.0196282201","0.0196282201","0.0196282201"
"427","0.0250029739","0.0250029739","0.0250029739"
"428","0.017941497","0.017941497","0.017941497"
"429","0.0199433344","0.0199433344","0.0199433344"
"430","0.0202755675","0.0202755675","0.0202755675"
"431","0.0234778434","0.0234778434","0.0234778434"
"432","0.0179701626","0.0179701626","0.0179701626"
"433","0.0207886639","0.0207886639","0.0207886639"
"434","0.0189728776","0.0189728776","0.0189728776"
"435","0.0219232078","0.0219232078","0.0219232078"
"436","0.0241397258","0.0241397258","0.0241397258"
"437","0.0273792716","0.0273792716","0.0273792716"
"438","0.0222542818","0.0222542818","0.0222542818"
"439","0.0231763082","0.0231763082","0.0231763082"
"440","0.0182253058","0.0182253058","0.0182253058"
"441","0.018279151","0.018279151","0.018279151"
"442","0.0182573688","0.0182573688","0.0182573688"
"443","0.0151611629","0.0151611629","0.0151611629"
"444","0.014821653","0.014821653","0.014821653"
"445","0.0225599024","0.0225599024","0.0225599024"
"446","0.0198926003","0.0198926003","0.0198926003"
"447","0.0218646838","0.0218646838","0.0218646838"
"448","0.022043809","0.022043809","0.022043809"
"449","0.01839278","0.01839278","0.01839278"
"450","0.020482371","0.020482371","0.020482371"
"451","0.0230509928","0.0230509928","0.0230509928"
"452","0.0230026067","0.0230026067","0.0230026067"
"453","0.0255244962","0.0255244962","0.0255244962"
"454","0.0257158144","0.0257158144","0.0257158144"
"455","0.01858888","0.01858888","0.01858888"
"456","0.0185736086","0.0185736086","0.0185736086"
"457","0.0190974325","0.0190974325","0.0190974325"
"458","0.016715567","0.016715567","0.016715567"
"459","0.0212058887","0.0212058887","0.0212058887"
"460","0.023655514","0.023655514","0.023655514"
"461","0.0330559822","0.0330559822","0.0330559822"
"462","0.0204844324","0.0204844324","0.0204844324"
"463","0.0180974435","0.0180974435","0.0180974435"
"464","0.0221010574","0.0221010574","0.0221010574"
"465","0.0334291227","0.0334291227","0.0334291227"
"466","0.0183052312","0.0183052312","0.0183052312"
"467","0.0204854929","0.0204854929","0.0204854929"
"468","0.0207146162","0.0207146162","0.0207146162"
"469","0.0234374262","0.0234374262","0.0234374262"
"470","0.0204494344","0.0204494344","0.0204494344"
"471","0.0205412388","0.0205412388","0.0205412388"
"472","0.0214833107","0.0214833107","0.0214833107"
"473","0.0182454713","0.0182454713","0.0182454713"
"474","0.021672628","0.021672628","0.021672628"
"475","0.0193940532","0.0193940532","0.0193940532"
"476","0.021315038","0.021315038","0.021315038"
"477","0.0188070954","0.0188070954","0.0188070954"
"478","0.0209271625","0.0209271625","0.0209271625"
"479","0.0157594766","0.0157594766","0.0157594766"
"480","0.0209329291","0.0209329291","0.0209329291"
"481","0.0277177251","0.0277177251","0.0277177251"
"482","0.0192207046","0.0192207046","0.0192207046"
"483","0.0237824248","0.0237824248","0.0237824248"
"484","0.0233268043","0.0233268043","0.0233268043"
"485","0.0164536624","0.0164536624","0.0164536624"
"486","0.0162335493","0.0162335493","0.0162335493"
"487","0.0287897886","0.0287897886","0.0287897886"
"488","0.0241042707","0.0241042707","0.0241042707"
"489","0.0206022533","0.0206022533","0.0206022533"
"490","0.0224991349","0.0224991349","0.0224991349"
"491","0.0223364068","0.0223364068","0.0223364068"
"492","0.0298103444","0.0298103444","0.0298103444"
"493","0.0303625336","0.0303625336","0.0303625336"
"494","0.0203927076","0.0203927076","0.0203927076"
"495","0.0200267158","0.0200267158","0.0200267158"
"496","0.0187155454","0.0187155454","0.0187155454"
"497","0.0181629873","0.0181629873","0.0181629873"
"498","0.0205045665","0.0205045665","0.0205045665"
"499","0.0388677494","0.0388677494","0.0388677494"
